"DAY","LUNCH","LIMITATIONS","PRICE"
"Perjantai","Kalakeitto","G L M","2,60  / 5,45 / 6,25 €"
"Perjantai","Kotijuustosalaatti","","2,60  / 5,45 / 6,25 €"
"Perjantai","Paniniateria","","4,30  / 6,25 / 6,25 €"
"Perjantai","Sämpyläateria","","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Nakkikeittoa","G L","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Bataattisosekeitto","","2,30  / 4,70 / 5,20 €"
"Keskiviikko","Katkarapu-avokadosalaatti","","2,60  / 5,45 / 6,25 €"
"Keskiviikko","Panini ateria","","4,30  / 6,25 / 6,25 €"
"Keskiviikko","Sämpylä ateri","",""
"Tiistai","Ohrapuuro ja mustikkakeitto","L","2,30  / 4,70 / 5,20 €"
"Tiistai","Broiler-caesarsalaatti","","2,60  / 5,45 / 6,25 €"
"Tiistai","Paniniateria","","4,30  / 6,25 / 6,25 €"
"Tiistai","Sämpyläateria","","2,60  / 5,45 / 6,25 €"
"Tiistai","Pizzapala (jauheliha)   Niin kauan kuin riittää","","2,60  / 5,45 / 6,25 €"
"Torstai","Tomaattivuohenjuustokeitto krutongeilla","G L","2,30  / 4,70 / 5,20 €"
"Torstai","Kebab salaatti","","2,60  / 5,45 / 6,25 €"
"Torstai","Panini ateria","","4,30  / 6,25 / 6,25 €"
"Torstai","Sämpylä ateria","","2,60  / 5,45 / 6,25 €"
"Maanantai","Broilermaissikeitto","G L M","2,60  / 5,45 / 6,25 €"
"Maanantai","Juustoinenkukkakaalisosekeitto","","2,30  / 4,70 / 5,20 €"
"Maanantai","Tonnikalasalaatti","G VL","2,60  / 5,45 / 6,25 €"
"Maanantai","Sämpyläateria","","2,60  / 5,45 / 6,25 €"
"Maanantai","Panini ateria","","4,30  / 6,25 / 6,25 €"
